Quarter,Year,Quarter_Label,Internet_Pct,Email_Clients_Pct,Removable_Media_Pct,Network_Folders_Pct
Q2,2022,Q2 2022,12.93,6.12,2.66,0.42
Q3,2022,Q3 2022,14.22,5.51,2.63,0.4
Q4,2022,Q4 2022,14.69,5.06,2.67,0.39
Q1,2023,Q1 2023,14.54,5.2,1.92,0.28
Q2,2023,Q2 2023,13.4,4.59,2.02,0.28
Q3,2023,Q3 2023,12.49,3.46,1.31,0.17
Q4,2023,Q4 2023,13.25,3.15,1.29,0.17
Q1,2024,Q1 2024,12.24,3.04,1.13,0.15
Q2,2024,Q2 2024,11.25,3.04,0.92,0.13
Q3,2024,Q3 2024,10.84,2.95,0.69,0.11
Q4,2024,Q4 2024,9.98,2.72,0.64,0.08
Q1,2025,Q1 2025,10.11,2.81,0.52,0.07
Q2,2025,Q2 2025,9.76,3.06,0.37,0.05
